#,Card,Card type,Type,G.S.,Level,ATK,DFD,picture,card_wiki_url
175,Ancient Brain,Monster,Fiend,"Mercury, Moon",3.0,1000.0,700.0,https://static.wikia.nocookie.net/yugioh/images/e/e1/AncientBrain-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131216231841,https://yugioh.fandom.com/wiki/Ancient_Brain_(FMR)
176,Fire Eye,Monster,Pyro,"Mars, Saturn",2.0,800.0,600.0,https://static.wikia.nocookie.net/yugioh/images/5/50/FireEye-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131216231846,https://yugioh.fandom.com/wiki/Fire_Eye_(FMR)
177,Monsturtle,Monster,Aqua,"Neptune, Mercury",3.0,800.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/3/35/Monsturtle-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221012138,https://yugioh.fandom.com/wiki/Monsturtle_(FMR)
178,Claw Reacher,Monster,Fiend,"Mercury, Mars",3.0,1000.0,800.0,https://static.wikia.nocookie.net/yugioh/images/c/c2/ClawReacher-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221012133,https://yugioh.fandom.com/wiki/Claw_Reacher_(FMR)
179,Phantom Dewan,Monster,Spellcaster,"Mercury, Jupiter",2.0,700.0,600.0,https://static.wikia.nocookie.net/yugioh/images/8/87/PhantomDewan-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221012139,https://yugioh.fandom.com/wiki/Phantom_Dewan_(FMR)
180,Arlownay,Monster,Plant,"Jupiter, Neptune",3.0,800.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/d/dd/Arlownay-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221012132,https://yugioh.fandom.com/wiki/Arlownay_(FMR)
181,Dark Shade,Monster,Fiend,"Saturn, Mars",3.0,1000.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/d/dc/DarkShade-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221012133,https://yugioh.fandom.com/wiki/Dark_Shade_(FMR)
182,Masked Clown,Monster,Warrior,"Mercury, Saturn",2.0,500.0,700.0,https://static.wikia.nocookie.net/yugioh/images/6/67/MaskedClown-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221012138,https://yugioh.fandom.com/wiki/Masked_Clown_(FMR)
183,Lucky Trinket,Monster,Spellcaster,"Sun, Jupiter",2.0,600.0,800.0,https://static.wikia.nocookie.net/yugioh/images/3/36/LuckyTrinket-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221012137,https://yugioh.fandom.com/wiki/Lucky_Trinket_(FMR)
184,Genin,Monster,Spellcaster,"Venus, Sun",3.0,600.0,900.0,https://static.wikia.nocookie.net/yugioh/images/5/50/Genin-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221012136,https://yugioh.fandom.com/wiki/Genin_(FMR)
185,Eyearmor,Monster,Warrior,"Uranus, Mars",2.0,600.0,500.0,https://static.wikia.nocookie.net/yugioh/images/9/93/Eyearmor-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221012134,https://yugioh.fandom.com/wiki/Eyearmor_(FMR)
186,Fiend Refrection #2,Monster,Winged Beast,"Venus, Mars",4.0,1100.0,1400.0,https://static.wikia.nocookie.net/yugioh/images/8/8e/FiendRefrection2-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221012134,https://yugioh.fandom.com/wiki/Fiend_Refrection_2
187,Gate Deeg,Monster,Beast,"Moon, Mars",3.0,700.0,800.0,https://static.wikia.nocookie.net/yugioh/images/c/cc/GateDeeg-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221012136,https://yugioh.fandom.com/wiki/Gate_Deeg_(FMR)
188,Synchar,Monster,Beast,"Jupiter, Sun",3.0,800.0,900.0,https://static.wikia.nocookie.net/yugioh/images/2/28/Synchar-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221012140,https://yugioh.fandom.com/wiki/Synchar_(FMR)
189,Fusionist,Monster,Beast,"Jupiter, Moon",3.0,900.0,700.0,https://static.wikia.nocookie.net/yugioh/images/c/c8/Fusionist-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221012135,https://yugioh.fandom.com/wiki/Fusionist_(FMR)
190,Akakieisu,Monster,Spellcaster,"Mercury, Uranus",3.0,1000.0,800.0,https://static.wikia.nocookie.net/yugioh/images/e/e4/Akakieisu-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221012132,https://yugioh.fandom.com/wiki/Akakieisu_(FMR)
191,LALA Li-oon,Monster,Thunder,"Pluto, Moon",2.0,600.0,600.0,https://static.wikia.nocookie.net/yugioh/images/a/ae/LALALioon-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221012137,https://yugioh.fandom.com/wiki/LALA_Li-oon_(FMR)
192,Key Mace,Monster,Fairy,"Sun, Saturn",1.0,400.0,300.0,https://static.wikia.nocookie.net/yugioh/images/7/72/KeyMace-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221012136,https://yugioh.fandom.com/wiki/Key_Mace_(FMR)
193,Turtle Tiger,Monster,Aqua,"Neptune, Saturn",4.0,1000.0,1500.0,https://static.wikia.nocookie.net/yugioh/images/1/17/TurtleTiger-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20140216215508,https://yugioh.fandom.com/wiki/Turtle_Tiger_(FMR)
194,Terra the Terrible,Monster,Fiend,"Moon, Jupiter",4.0,1200.0,1300.0,https://static.wikia.nocookie.net/yugioh/images/c/ce/TerratheTerrible-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023132940,https://yugioh.fandom.com/wiki/Terra_the_Terrible_(FMR)
195,Doron,Monster,Warrior,"Neptune, Moon",2.0,900.0,500.0,https://static.wikia.nocookie.net/yugioh/images/4/49/Doron-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023132941,https://yugioh.fandom.com/wiki/Doron_(FMR)
196,Arma Knight,Monster,Aqua,"Neptune, Venus",4.0,1000.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/b/b0/ArmaKnight-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023132942,https://yugioh.fandom.com/wiki/Arma_Knight_(FMR)
197,Mech Mole Zombie,Monster,Zombie,"Moon, Saturn",2.0,500.0,400.0,https://static.wikia.nocookie.net/yugioh/images/9/9f/MechMoleZombie-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023132943,https://yugioh.fandom.com/wiki/Mech_Mole_Zombie_(FMR)
198,Happy Lover,Monster,Fairy,"Sun, Uranus",2.0,800.0,500.0,https://static.wikia.nocookie.net/yugioh/images/8/83/HappyLover-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20140216215325,https://yugioh.fandom.com/wiki/Happy_Lover_(FMR)
199,Penguin Knight,Monster,Aqua,"Uranus, Mercury",3.0,900.0,800.0,https://static.wikia.nocookie.net/yugioh/images/8/81/PenguinKnight-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20140216215503,https://yugioh.fandom.com/wiki/Penguin_Knight_(FMR)
200,Petit Dragon,Monster,Dragon,"Saturn, Sun",2.0,600.0,700.0,https://static.wikia.nocookie.net/yugioh/images/a/a4/PetitDragon-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221170929,https://yugioh.fandom.com/wiki/Petit_Dragon_(FMR)
201,Frenzied Panda,Monster,Beast,"Jupiter, Venus",4.0,1200.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/7/71/FrenziedPanda-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023132944,https://yugioh.fandom.com/wiki/Frenzied_Panda_(FMR)
202,Air Marmot of Nefariousness,Monster,Beast,"Moon, Uranus",2.0,400.0,600.0,https://static.wikia.nocookie.net/yugioh/images/b/ba/AirMarmotofNefariousness-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221012131,https://yugioh.fandom.com/wiki/Air_Marmot_of_Nefariousness_(FMR)
203,Phantom Ghost,Monster,Zombie,"Moon, Pluto",2.0,600.0,800.0,https://static.wikia.nocookie.net/yugioh/images/e/e0/PhantomGhost-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023132944,https://yugioh.fandom.com/wiki/Phantom_Ghost_(FMR)
204,Mabarrel,Monster,Fiend,"Moon, Neptune",5.0,1700.0,1400.0,https://static.wikia.nocookie.net/yugioh/images/0/04/Mabarrel-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023132945,https://yugioh.fandom.com/wiki/Mabarrel_(FMR)
205,Dorover,Monster,Aqua,"Neptune, Sun",3.0,900.0,800.0,https://static.wikia.nocookie.net/yugioh/images/1/1e/Dorover-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023132946,https://yugioh.fandom.com/wiki/Dorover_(FMR)
206,Twin Long Rods #1,Monster,Aqua,"Moon, Mercury",3.0,900.0,700.0,https://static.wikia.nocookie.net/yugioh/images/a/af/TwinLongRods-1-FMR-EN-VG.png/revision/latest?cb=20180622072716,https://yugioh.fandom.com/wiki/Twin_Long_Rods_1_(FMR)
207,Droll Bird,Monster,Winged Beast,"Saturn, Moon",2.0,600.0,500.0,https://static.wikia.nocookie.net/yugioh/images/f/ff/DrollBird-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20180323194426,https://yugioh.fandom.com/wiki/Droll_Bird_(FMR)
208,Petit Angel,Monster,Fairy,"Sun, Pluto",3.0,600.0,900.0,https://static.wikia.nocookie.net/yugioh/images/a/a6/PetitAngel-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20140216215503,https://yugioh.fandom.com/wiki/Petit_Angel_(FMR)
209,Winged Cleaver,Monster,Insect,"Jupiter, Mercury",2.0,700.0,700.0,https://static.wikia.nocookie.net/yugioh/images/3/3b/WingedCleaver-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20180323194821,https://yugioh.fandom.com/wiki/Winged_Cleaver_(FMR)
210,Hinotama Soul,Monster,Pyro,"Mars, Uranus",2.0,600.0,500.0,https://static.wikia.nocookie.net/yugioh/images/8/8f/HinotamaSoul-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20140216215326,https://yugioh.fandom.com/wiki/Hinotama_Soul_(FMR)
211,Kaminarikozou,Monster,Thunder,"Pluto, Venus",2.0,700.0,600.0,https://static.wikia.nocookie.net/yugioh/images/c/c6/Kaminarikozou-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215203539,https://yugioh.fandom.com/wiki/Kaminarikozou_(FMR)
212,Meotoko,Monster,Beast,"Moon, Mars",2.0,700.0,600.0,https://static.wikia.nocookie.net/yugioh/images/e/ea/Meotoko-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023132946,https://yugioh.fandom.com/wiki/Meotoko_(FMR)
213,Aqua Madoor,Monster,Spellcaster,"Neptune, Mercury",4.0,1200.0,2000.0,https://static.wikia.nocookie.net/yugioh/images/8/84/AquaMadoor-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023132947,https://yugioh.fandom.com/wiki/Aqua_Madoor_(FMR)
214,Kagemusha of the Blue Flame,Monster,Warrior,"Mars, Sun",2.0,800.0,400.0,https://static.wikia.nocookie.net/yugioh/images/6/6a/KagemushaoftheBlueFlame-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023132948,https://yugioh.fandom.com/wiki/Kagemusha_of_the_Blue_Flame_(FMR)
215,Flame Ghost,Monster,Zombie,"Mars, Pluto",3.0,1000.0,800.0,https://static.wikia.nocookie.net/yugioh/images/c/c0/FlameGhost-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20140216215323,https://yugioh.fandom.com/wiki/Flame_Ghost_(FMR)
216,Dryad,Monster,Spellcaster,"Jupiter, Uranus",4.0,1200.0,1400.0,https://static.wikia.nocookie.net/yugioh/images/f/f0/Dryad-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20140216215322,https://yugioh.fandom.com/wiki/Dryad_(FMR)
217,B. Skull Dragon,Monster,Dragon,"Moon, Jupiter",9.0,3200.0,2500.0,https://static.wikia.nocookie.net/yugioh/images/e/ef/BSkullDragon-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215203212,https://yugioh.fandom.com/wiki/B._Skull_Dragon_(FMR)
218,Two-mouth Darkruler,Monster,Dinosaur,"Moon, Saturn",3.0,900.0,700.0,https://static.wikia.nocookie.net/yugioh/images/4/4d/TwomouthDarkruler-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023132948,https://yugioh.fandom.com/wiki/Two-mouth_Darkruler_(FMR)
219,Solitude,Monster,Beast-Warrior,"Moon, Uranus",3.0,1050.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/3/34/Solitude-FMR-EN-VG.png/revision/latest?cb=20180622073531,https://yugioh.fandom.com/wiki/Solitude_(FMR)
220,Masked Sorcerer,Monster,Spellcaster,"Mercury, Neptune",4.0,900.0,1400.0,https://static.wikia.nocookie.net/yugioh/images/9/9a/MaskedSorcerer-FMR-EN-VG.png/revision/latest?cb=20180622073648,https://yugioh.fandom.com/wiki/Masked_Sorcerer_(FMR)
221,Kumootoko,Monster,Insect,"Jupiter, Pluto",3.0,700.0,1400.0,https://static.wikia.nocookie.net/yugioh/images/7/74/Kumootoko-FMR-EN-VG.png/revision/latest?cb=20180622073813,https://yugioh.fandom.com/wiki/Kumootoko_(FMR)
222,Midnight Fiend,Monster,Fiend,"Moon, Neptune",2.0,800.0,600.0,https://static.wikia.nocookie.net/yugioh/images/f/f0/Back-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20210701203141,https://yugioh.fandom.com/wiki/Midnight_Fiend_(FMR)
223,Roaring Ocean Snake,Monster,Aqua,"Neptune, Mars",6.0,2100.0,1800.0,https://static.wikia.nocookie.net/yugioh/images/f/f0/Back-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20210701203141,https://yugioh.fandom.com/wiki/Roaring_Ocean_Snake_(FMR)
224,Trap Master,Monster,Warrior,"Mercury, Moon",3.0,500.0,1100.0,https://static.wikia.nocookie.net/yugioh/images/0/00/TrapMaster-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023132949,https://yugioh.fandom.com/wiki/Trap_Master_(FMR)
225,Fiend Sword,Monster,Warrior,"Moon, Mercury",4.0,1400.0,800.0,https://static.wikia.nocookie.net/yugioh/images/8/8f/FiendSword-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20140216215323,https://yugioh.fandom.com/wiki/Fiend_Sword_(FMR)
226,Skull Stalker,Monster,Warrior,"Moon, Mars",3.0,900.0,800.0,https://static.wikia.nocookie.net/yugioh/images/0/0b/SkullStalker-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20140216215505,https://yugioh.fandom.com/wiki/Skull_Stalker_(FMR)
227,Hitodenchak,Monster,Aqua,"Neptune, Mars",2.0,600.0,700.0,https://static.wikia.nocookie.net/yugioh/images/f/f0/Back-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20210701203141,https://yugioh.fandom.com/wiki/Hitodenchak_(FMR)
228,Wood Remains,Monster,Zombie,"Jupiter, Neptune",3.0,1000.0,900.0,https://static.wikia.nocookie.net/yugioh/images/f/f0/Back-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20210701203141,https://yugioh.fandom.com/wiki/Wood_Remains_(FMR)
229,Hourglass of Life,Monster,Fairy,"Sun, Neptune",2.0,700.0,600.0,https://static.wikia.nocookie.net/yugioh/images/4/43/HourglassofLife-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20140216215326,https://yugioh.fandom.com/wiki/Hourglass_of_Life_(FMR)
230,Rare Fish,Monster,Fish,"Neptune, Jupiter",4.0,1500.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/f/f0/Back-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20210701203141,https://yugioh.fandom.com/wiki/Rare_Fish_(FMR)
231,Wood Clown,Monster,Warrior,"Mercury, Mars",3.0,800.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/1/1d/WoodClown-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20140216215509,https://yugioh.fandom.com/wiki/Wood_Clown_(FMR)
232,Madjinn Gunn,Monster,Fiend,"Moon, Jupiter",2.0,600.0,800.0,https://static.wikia.nocookie.net/yugioh/images/f/f0/Back-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20210701203141,https://yugioh.fandom.com/wiki/Madjinn_Gunn_(FMR)
233,Dark Titan of Terror,Monster,Fiend,"Mercury, Jupiter",4.0,1300.0,1100.0,https://static.wikia.nocookie.net/yugioh/images/8/86/DarkTitanofTerror-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20140216215322,https://yugioh.fandom.com/wiki/Dark_Titan_of_Terror_(FMR)
234,Beautiful Headhuntress,Monster,Warrior,"Mercury, Saturn",4.0,1600.0,800.0,https://static.wikia.nocookie.net/yugioh/images/7/7f/BeautifulHeadhuntress-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20140216215319,https://yugioh.fandom.com/wiki/Beautiful_Headhuntress_(FMR)
235,Wodan the Resident of the Forest,Monster,Warrior,"Jupiter, Sun",3.0,900.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/f/f0/Back-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20210701203141,https://yugioh.fandom.com/wiki/Wodan_the_Resident_of_the_Forest_(FMR)
236,Guardian of the Labyrinth,Monster,Warrior,"Pluto, Mercury",4.0,1000.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/9/9d/GuardianoftheLabyrinth-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023132949,https://yugioh.fandom.com/wiki/Guardian_of_the_Labyrinth_(FMR)
237,Haniwa,Monster,Rock,"Uranus, Jupiter",2.0,500.0,500.0,https://static.wikia.nocookie.net/yugioh/images/b/bd/Haniwa-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023132950,https://yugioh.fandom.com/wiki/Haniwa_(FMR)
238,Yashinoki,Monster,Plant,"Jupiter, Moon",2.0,800.0,600.0,https://static.wikia.nocookie.net/yugioh/images/f/f0/Back-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20210701203141,https://yugioh.fandom.com/wiki/Yashinoki_(FMR)
239,Vishwar Randi,Monster,Warrior,"Mercury, Uranus",3.0,900.0,700.0,https://static.wikia.nocookie.net/yugioh/images/e/e2/VishwarRandi-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023132950,https://yugioh.fandom.com/wiki/Vishwar_Randi_(FMR)
240,The Drdek,Monster,Fiend,"Moon, Saturn",3.0,700.0,800.0,https://static.wikia.nocookie.net/yugioh/images/3/35/TheDrdek-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023132951,https://yugioh.fandom.com/wiki/The_Drdek_(FMR)
241,Dark Assailant,Monster,Zombie,"Moon, Uranus",4.0,1200.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/f/f0/Back-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20210701203141,https://yugioh.fandom.com/wiki/Dark_Assailant_(FMR)
242,Candle of Fate,Monster,Fiend,"Mars, Moon",2.0,600.0,600.0,https://static.wikia.nocookie.net/yugioh/images/d/d5/CandleofFate-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20140216215321,https://yugioh.fandom.com/wiki/Candle_of_Fate_(FMR)
243,Water Element,Monster,Aqua,"Neptune, Saturn",3.0,900.0,700.0,https://static.wikia.nocookie.net/yugioh/images/9/96/WaterElement-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20140216215508,https://yugioh.fandom.com/wiki/Water_Element_(FMR)
244,Dissolverock,Monster,Rock,"Mars, Venus",3.0,900.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/f/f0/Back-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20210701203141,https://yugioh.fandom.com/wiki/Dissolverock_(FMR)
245,Meda Bat,Monster,Fiend,"Moon, Neptune",2.0,800.0,400.0,https://static.wikia.nocookie.net/yugioh/images/e/ea/MedaBat-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023132951,https://yugioh.fandom.com/wiki/Meda_Bat_(FMR)
246,One Who Hunts Souls,Monster,Beast-Warrior,"Moon, Mercury",4.0,1100.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/f/f0/Back-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20210701203141,https://yugioh.fandom.com/wiki/One_Who_Hunts_Souls_(FMR)
247,Root Water,Monster,Fish,"Neptune, Sun",3.0,900.0,800.0,https://static.wikia.nocookie.net/yugioh/images/f/f0/Back-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20210701203141,https://yugioh.fandom.com/wiki/Root_Water_(FMR)
248,Master & Expert,Monster,Beast,"Jupiter, Venus",4.0,1200.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/f/f0/Back-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20210701203141,https://yugioh.fandom.com/wiki/Master_%26_Expert_(FMR)
249,Water Omotics,Monster,Aqua,"Neptune, Moon",4.0,1400.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/7/71/WaterOmotics-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20140216215509,https://yugioh.fandom.com/wiki/Water_Omotics_(FMR)
250,Hyo,Monster,Warrior,"Neptune, Mercury",3.0,800.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/9/9c/Hyo-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20140216215326,https://yugioh.fandom.com/wiki/Hyo_(FMR)
251,Enchanting Mermaid,Monster,Fish,"Neptune, Venus",3.0,1200.0,900.0,https://static.wikia.nocookie.net/yugioh/images/c/ce/EnchantingMermaid-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023132952,https://yugioh.fandom.com/wiki/Enchanting_Mermaid_(FMR)
252,Nekogal #1,Monster,Beast,"Jupiter, Mercury",3.0,1100.0,900.0,https://static.wikia.nocookie.net/yugioh/images/9/99/Nekogal1-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20140216215502,https://yugioh.fandom.com/wiki/Nekogal_1_(FMR)
253,Angelwitch,Monster,Spellcaster,"Mercury, Neptune",3.0,800.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/5/56/Angelwitch-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215203206,https://yugioh.fandom.com/wiki/Angelwitch_(FMR)
254,Embryonic Beast,Monster,Fiend,"Moon, Mars",2.0,500.0,750.0,https://static.wikia.nocookie.net/yugioh/images/5/5e/EmbryonicBeast-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215203535,https://yugioh.fandom.com/wiki/Embryonic_Beast_(FMR)
255,Prevent Rat,Monster,Beast,"Jupiter, Uranus",4.0,500.0,2000.0,https://static.wikia.nocookie.net/yugioh/images/f/f0/Back-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20210701203141,https://yugioh.fandom.com/wiki/Prevent_Rat_(FMR)
256,Dimensional Warrior,Monster,Warrior,"Venus, Mars",4.0,1200.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/0/0e/DimensionalWarrior-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215203217,https://yugioh.fandom.com/wiki/Dimensional_Warrior_(FMR)
257,Stone Armadiller,Monster,Rock,"Uranus, Sun",3.0,800.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/f/f0/Back-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20210701203141,https://yugioh.fandom.com/wiki/Stone_Armadiller_(FMR)
258,Beastking of the Swamps,Monster,Aqua,"Uranus, Mercury",4.0,1000.0,1100.0,https://static.wikia.nocookie.net/yugioh/images/f/f0/Back-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20210701203141,https://yugioh.fandom.com/wiki/Beastking_of_the_Swamps_(FMR)
259,Ancient Sorcerer,Monster,Spellcaster,"Mercury, Moon",4.0,1000.0,1300.0,https://static.wikia.nocookie.net/yugioh/images/2/25/AncientSorcerer-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023132952,https://yugioh.fandom.com/wiki/Ancient_Sorcerer_(FMR)
260,Lunar Queen Elzaim,Monster,Fairy,"Moon, Venus",3.0,750.0,1100.0,https://static.wikia.nocookie.net/yugioh/images/e/e1/LunarQueenElzaim-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20140216215501,https://yugioh.fandom.com/wiki/Lunar_Queen_Elzaim_(FMR)
261,Wicked Mirror,Monster,Fiend,"Venus, Jupiter",2.0,700.0,600.0,https://static.wikia.nocookie.net/yugioh/images/a/af/WickedMirror-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20140216215509,https://yugioh.fandom.com/wiki/Wicked_Mirror_(FMR)
262,The Little Swordsman of Aile,Monster,Warrior,"Neptune, Mars",3.0,800.0,1300.0,https://static.wikia.nocookie.net/yugioh/images/0/06/TheLittleSwordsmanofAile-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20140216215508,https://yugioh.fandom.com/wiki/The_Little_Swordsman_of_Aile_(FMR)
263,Rock Ogre Grotto #2,Monster,Rock,"Uranus, Sun",3.0,700.0,1400.0,https://static.wikia.nocookie.net/yugioh/images/b/b0/RockOgreGrotto2-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023133214,https://yugioh.fandom.com/wiki/Rock_Ogre_Grotto_2_(FMR)
264,Wing Egg Elf,Monster,Fairy,"Sun, Mars",3.0,500.0,1300.0,https://static.wikia.nocookie.net/yugioh/images/f/f1/WingEggElf-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023133214,https://yugioh.fandom.com/wiki/Wing_Egg_Elf_(FMR)
265,The Furious Sea King,Monster,Aqua,"Neptune, Jupiter",3.0,800.0,700.0,https://static.wikia.nocookie.net/yugioh/images/f/fb/TheFuriousSeaKing-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221002807,https://yugioh.fandom.com/wiki/The_Furious_Sea_King_(FMR)
266,Princess of Tsurugi,Monster,Warrior,"Saturn, Venus",3.0,900.0,700.0,https://static.wikia.nocookie.net/yugioh/images/f/ff/PrincessofTsurugi-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221002803,https://yugioh.fandom.com/wiki/Princess_of_Tsurugi_(FMR)
267,Unknown Warrior of Fiend,Monster,Warrior,"Mercury, Mars",3.0,1000.0,500.0,https://static.wikia.nocookie.net/yugioh/images/4/41/UnknownWarriorofFiend-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221002807,https://yugioh.fandom.com/wiki/Unknown_Warrior_of_Fiend_(FMR)
268,Sectarian of Secrets,Monster,Spellcaster,"Mercury, Jupiter",2.0,700.0,500.0,https://static.wikia.nocookie.net/yugioh/images/2/26/SectarianofSecrets-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221002805,https://yugioh.fandom.com/wiki/Sectarian_of_Secrets_(FMR)
269,Versago the Destroyer,Monster,Fiend,"Mercury, Saturn",3.0,1100.0,900.0,https://static.wikia.nocookie.net/yugioh/images/b/be/VersagotheDestroyer-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221002808,https://yugioh.fandom.com/wiki/Versago_the_Destroyer_(FMR)
